AliceBlue,240248255
AntiqueWhite,250235215
Aqua,255255
Aquamarine,127255212
Azure,240255255
Beige,245245220
Bisque,255228196
Black,0
BlanchedAlmond,255235205
Blue,255
BlueViolet,13843226
Brown,1654242
Burlywood,222184135
CadetBlue,95158160
Chartreuse,1272550
Chocolate,21010530
Coral,25512780
CornflowerBlue,100149237
Cornsilk,255248220
Crimson,2202060
Cyan,255255
DarkBlue,139
DarkCyan,139139
DarkGoldenrod,18413411
DarkGray,169169169
DarkGreen,1000
DarkKhaki,189183107
DarkMagenta,1390139
DarkOliveGreen,8510747
DarkOrange,2551400
DarkOrchid,15350204
DarkRed,13900
DarkSalmon,233150122
DarkSeaGreen,143188143
DarkSlateBlue,7261139
DarkSlateGray,477979
DarkTurquoise,206209
DarkViolet,1480211
DeepPink,25520147
DeepSkyBlue,191255
DimGray,105105105
DodgerBlue,30144255
Firebrick,1783434
FloralWhite,255250240
ForestGreen,3413934
Fuchsia,2550255
Gainsboro,220220220
GhostWhite,248248255
Gold,2552150
Goldenrod,21816532
Gray,128128128
Green,1280
GreenYellow,17325547
Honeydew,240255240
HotPink,255105180
IndianRed,2059292
Indigo,750130
Ivory,255255240
Khaki,240230140
Lavender,230230250
LavenderBlush,255240245
LawnGreen,1242520
LemonChiffon,255250205
LightBlue,173216230
LightCoral,240128128
LightCyan,224255255
LightGoldenrodYellow,250250210
LightGray,211211211
LightGreen,144238144
LightPink,255182193
LightSalmon,255160122
LightSeaGreen,32178170
LightSkyBlue,135206250
LightSlateGray,119136153
LightSteelBlue,176196222
LightYellow,255255224
Lime,2550
LimeGreen,5020550
Linen,250240230
Magenta,2550255
Maroon,12800
MediumAquamarine,102205170
MediumBlue,205
MediumOrchid,18685211
MediumPurple,147112219
MediumSeaGreen,60179113
MediumSlateBlue,123104238
MediumSpringGreen,250154
MediumTurquoise,72209204
MediumVioletRed,19921133
MidnightBlue,2525112
MintCream,245255250
MistyRose,255228225
Moccasin,255228181
NavajoWhite,255222173
Navy,128
OldLace,253245230
Olive,1281280
OliveDrab,10714235
Orange,2551650
OrangeRed,255690
Orchid,218112214
PaleGoldenrod,238232170
PaleGreen,152251152
PaleTurquoise,175238238
PaleVioletRed,219112147
PapayaWhip,255239213
PeachPuff,255218185
Peru,20513363
Pink,255192203
Plum,221160221
PowderBlue,176224230
Purple,1280128
Red,25500
RosyBrown,188143143
RoyalBlue,65105225
SaddleBrown,1396919
Salmon,250128114
SandyBrown,24416496
SeaGreen,4613987
Seashell,255245238
Sienna,1608245
Silver,192192192
SkyBlue,135206235
SlateBlue,10690205
SlateGray,112128144
Snow,255250250
SpringGreen,255127
SteelBlue,70130180
Tan,210180140
Teal,128128
Thistle,216191216
Tomato,2559971
Turquoise,64224208
Violet,238130238
Wheat,245222179
White,255255255
WhiteSmoke,245245245
Yellow,2552550
YellowGreen,15420550